ts,ms_played,track,artist,album,uri,UniqueID,track_uri
2015-10-31T17:29:58Z,139852,I Am A God,Kanye West,Yeezus,spotify:track:0HMCdlOPJkAGlB0MlSWIcO,Kanye West:I Am A God,0HMCdlOPJkAGlB0MlSWIcO
2015-10-31T17:30:19Z,20874,Gold Digger,Kanye West,Late Registration,spotify:track:1PS1QMdUqOal0ai3Gt7sDQ,Kanye West:Gold Digger,1PS1QMdUqOal0ai3Gt7sDQ
2015-10-31T17:37:28Z,20610,Hotline Bling,Drake,Hotline Bling,spotify:track:6nmz4imkDcmtwMjocAzFSx,Drake:Hotline Bling,6nmz4imkDcmtwMjocAzFSx
2015-10-31T17:40:54Z,205879,Jumpman,Drake,What A Time To Be Alive,spotify:track:27GmP9AWRs744SzKcpJsTZ,Drake:Jumpman,27GmP9AWRs744SzKcpJsTZ
2015-10-31T17:45:01Z,183359,Marilyn Monroe,Nicki Minaj,Pink Friday ... Roman Reloaded,spotify:track:4VRAVd6drMjJO4AvRLrd7w,Nicki Minaj:Marilyn Monroe,4VRAVd6drMjJO4AvRLrd7w
2015-10-31T17:51:26Z,384663,679 (feat. Remy Boyz),Fetty Wap,679 (feat. Remy Boyz),spotify:track:5NQbUaeTEOGdD6hHcre0dZ,Fetty Wap:679 (feat. Remy Boyz),5NQbUaeTEOGdD6hHcre0dZ
2015-10-31T17:56:42Z,196693,679 (feat. Remy Boyz),Fetty Wap,679 (feat. Remy Boyz),spotify:track:5NQbUaeTEOGdD6hHcre0dZ,Fetty Wap:679 (feat. Remy Boyz),5NQbUaeTEOGdD6hHcre0dZ
2015-10-31T17:59:59Z,196693,679 (feat. Remy Boyz),Fetty Wap,679 (feat. Remy Boyz),spotify:track:5NQbUaeTEOGdD6hHcre0dZ,Fetty Wap:679 (feat. Remy Boyz),5NQbUaeTEOGdD6hHcre0dZ
2015-10-31T22:15:54Z,20847,679 (feat. Remy Boyz),Fetty Wap,679 (feat. Remy Boyz),spotify:track:5NQbUaeTEOGdD6hHcre0dZ,Fetty Wap:679 (feat. Remy Boyz),5NQbUaeTEOGdD6hHcre0dZ
2015-11-01T00:11:45Z,8591,Marilyn Monroe,Nicki Minaj,Pink Friday ... Roman Reloaded,spotify:track:4VRAVd6drMjJO4AvRLrd7w,Nicki Minaj:Marilyn Monroe,4VRAVd6drMjJO4AvRLrd7w
2015-11-01T00:15:18Z,216346,Around The World,Natalie La Rose,Around The World,spotify:track:5IxXl4qLDoh16PJ5E7lnql,Natalie La Rose:Around The World,5IxXl4qLDoh16PJ5E7lnql
2015-11-01T00:19:48Z,269946,Bed Of Lies,Nicki Minaj,The Pinkprint,spotify:track:490r1lg2turCiWsPAAxVBP,Nicki Minaj:Bed Of Lies,490r1lg2turCiWsPAAxVBP
2015-11-01T00:20:07Z,18390,Kanye - Don Diablo Remix,The Chainsmokers,Kanye,spotify:track:3MNGCgYMF8IAQNGLjauG5M,The Chainsmokers:Kanye - Don Diablo Remix,3MNGCgYMF8IAQNGLjauG5M
2015-11-01T00:20:07Z,0,Outlaws,Alessia Cara,Four Pink Walls,spotify:track:0rUBWKzPAwbXURGJkEvq7Y,Alessia Cara:Outlaws,0rUBWKzPAwbXURGJkEvq7Y
2015-11-01T00:23:15Z,190595,Right Hand,Drake,Right Hand,spotify:track:3lSR267IJfT54p0Gfuw7mi,Drake:Right Hand,3lSR267IJfT54p0Gfuw7mi
2015-11-01T00:26:34Z,199453,Here,Alessia Cara,Four Pink Walls,spotify:track:7IUF0dDdzguaFUwwA9BgDu,Alessia Cara:Here,7IUF0dDdzguaFUwwA9BgDu
2015-11-01T00:30:07Z,211880,Four Pink Walls,Alessia Cara,Four Pink Walls,spotify:track:5cjHdvKZ0U6L4ideC87aDG,Alessia Cara:Four Pink Walls,5cjHdvKZ0U6L4ideC87aDG
2015-11-01T00:34:04Z,205879,Jumpman,Drake,What A Time To Be Alive,spotify:track:27GmP9AWRs744SzKcpJsTZ,Drake:Jumpman,27GmP9AWRs744SzKcpJsTZ
2015-11-01T00:38:29Z,265226,The Crying Game,Nicki Minaj,The Pinkprint,spotify:track:4OgSKgxZqty3qQMtKU44Ah,Nicki Minaj:The Crying Game,4OgSKgxZqty3qQMtKU44Ah
2015-11-01T00:42:05Z,215999,Adore,Cashmere Cat,Adore,spotify:track:34HwOOG2tTiz6tAN9h83YT,Cashmere Cat:Adore,34HwOOG2tTiz6tAN9h83YT
2015-11-01T00:46:33Z,267023,Hotline Bling,Drake,Hotline Bling,spotify:track:6nmz4imkDcmtwMjocAzFSx,Drake:Hotline Bling,6nmz4imkDcmtwMjocAzFSx
2015-11-01T00:48:41Z,25356,Grand Piano,Nicki Minaj,The Pinkprint,spotify:track:5wzuewBsK1GdViQK4uBraa,Nicki Minaj:Grand Piano,5wzuewBsK1GdViQK4uBraa
2015-11-01T00:48:55Z,18808,All Falls Down,Kanye West,The College Dropout,spotify:track:2cYZpcIV39X48RnOFM7w2V,Kanye West:All Falls Down,2cYZpcIV39X48RnOFM7w2V
2015-11-01T00:52:30Z,218746,High School,Nicki Minaj,Pink Friday: Roman Reloaded The Re-Up,spotify:track:6bzwoiUt0s1KDOedyy4OtQ,Nicki Minaj:High School,6bzwoiUt0s1KDOedyy4OtQ
2015-11-01T00:56:56Z,265333,Right By My Side,Nicki Minaj,Pink Friday ... Roman Reloaded,spotify:track:2bgW1SJqUjIkWcbxTPTIdy,Nicki Minaj:Right By My Side,2bgW1SJqUjIkWcbxTPTIdy
2015-11-01T00:57:17Z,21733,The Night Is Still Young,Nicki Minaj,The Pinkprint,spotify:track:4bBrKDo8rchikwZOtmXbIH,Nicki Minaj:The Night Is Still Young,4bBrKDo8rchikwZOtmXbIH
2015-11-01T01:01:01Z,227319,Beautiful Sinner,Nicki Minaj,Pink Friday ... Roman Reloaded,spotify:track:3C8vbwl0qSHLxvtjtSyQXo,Nicki Minaj:Beautiful Sinner,3C8vbwl0qSHLxvtjtSyQXo
